./tomasulo/manual/tomasulo.als,check NoWAWHazard_Complete for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,,
./tomasulo/manual/tomasulo.als,check NoWAWHazard_Complete for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,,
./tomasulo/manual/tomasulo.als,check NoWAWHazard_Complete for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,
./tomasulo/manual/tomasulo.als,check NoWAWHazard_Complete for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,
./tomasulo/manual/tomasulo.als,check NoWAWHazard_Complete for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,
./tomasulo/manual/tomasulo.als,check NoWAWHazard_Complete for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,451
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,489
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,547
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,505
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,576
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,522
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,508
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,526
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,526
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,491
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,532
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,496
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,561
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,492
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,648
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,594
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,619
./tomasulo/manual/tomasulo.als,check NoWAWHazard_WAWVulnerable for exactly 4 RobEntry, exactly 4 Register, 10 InstrRecord, 10 steps, 4 Int,VALID,644
