"RegsAndEntries","Steps","Result","Time"
4,8,SAT,5306
4,10,SAT,14249
4,12,SAT,27873
4,14,SAT,47047
4,16,SAT,76968
4,18,SAT,132760
4,20,SAT,188535
4,22,SAT,238244
4,24,SAT,412893
4,26,SAT,494426
4,28,SAT,665147
4,30,SAT,895794
6,8,SAT,18937
6,10,SAT,48012
6,12,SAT,98845
6,14,SAT,189131
6,16,SAT,282445
6,18,SAT,476955
6,20,SAT,578498
6,22,SAT,880924
8,8,SAT,36439
8,10,SAT,148294
8,12,SAT,285330
8,14,SAT,466901
8,16,SAT,807679
10,8,SAT,107625
10,10,SAT,282692
10,12,SAT,425548
12,8,SAT,198262
12,10,SAT,482784
14,8,SAT,452301
16,8,SAT,886122
