"RegsAndEntries","Steps","Result","Time"
4,8,SAT,4180
4,10,SAT,15610
4,12,SAT,31437
4,14,SAT,55263
4,16,SAT,126428
4,18,SAT,210578
4,20,SAT,202561
4,22,SAT,278417
4,24,SAT,605964
4,26,SAT,520483
6,8,SAT,8305
6,10,SAT,20497
6,12,SAT,73980
6,14,SAT,96708
6,16,SAT,226251
6,18,SAT,238164
6,20,SAT,398962
6,22,SAT,412423
6,24,SAT,622884
6,26,SAT,910798
8,8,SAT,24354
8,10,SAT,61073
8,12,SAT,167896
8,14,SAT,249283
8,16,SAT,304199
8,18,SAT,471370
8,20,SAT,776940
10,8,SAT,23069
10,10,SAT,121959
10,12,SAT,213628
10,14,SAT,418648
10,16,SAT,590781
10,18,SAT,876004
12,8,SAT,71925
12,10,SAT,184589
12,12,SAT,406625
12,14,SAT,579766
12,16,SAT,956719
14,8,SAT,143612
14,10,SAT,268025
14,12,SAT,532780
14,14,SAT,833701
16,8,SAT,175460
16,10,SAT,443463
18,8,SAT,299428
18,10,SAT,574519
20,8,SAT,239442
20,10,SAT,822138
22,8,SAT,561545
24,8,SAT,627405
